Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
-17.0055;27.9555;1997;Stenella frontalis;17326;2312;1997-03-12T11:51:38;POINT(-17.0055 27.9555)
-17.961667;27.595;1997;Stenella frontalis;5205;1468;1997-03-20T17:11:05;POINT(-17.961667 27.595)
-13.31785;29.1345;1995;Stenella frontalis;10893;1294.8;1995-01-29T15:00:00;POINT(-13.31785 29.1345)
-16.9495;28.032833;1996;Stenella frontalis;16192;1954.5;1996-04-05T12:44:57;POINT(-16.9495 28.032833)
-16.8195;28.0195;1996;Stenella frontalis;8993;1831;1996-04-07T11:33:56;POINT(-16.8195 28.0195)
-16.7385;27.971833;1996;Stenella frontalis;5071;1528;1996-04-07T10:26:01;POINT(-16.7385 27.971833)
-17.196;27.912667;1997;Stenella frontalis;12365;2031;1997-03-12T15:19:10;POINT(-17.196 27.912667)
-13.500833;28.916733;1995;Stenella frontalis;5820;1002.6;1995-02-01T10:15:00;POINT(-13.500833 28.916733)
-17.169167;27.9525;1997;Stenella frontalis;8448;1710.5;1997-02-05T13:34:12;POINT(-17.169167 27.9525)
-17.239;27.989;1996;Stenella frontalis;3449;497;1996-04-02T15:04:33;POINT(-17.239 27.989)
-16.718167;27.984833;1996;Stenella frontalis;2671;989;1996-04-07T09:50:02;POINT(-16.718167 27.984833)
-13.68465;28.8838;1994;Stenella frontalis;3939;755;1994-12-21T14:40:00;POINT(-13.68465 28.8838)
-13.317933;29.2014;1994;Stenella frontalis;8342;845.4;1994-12-18T14:24:00;POINT(-13.317933 29.2014)
-17.22;27.903333;1997;Stenella frontalis;13151;2137.5;1997-03-09T12:20:18;POINT(-17.22 27.903333)
-13.334433;29.18405;1994;Stenella frontalis;8316;1057.6;1994-12-18T14:00:00;POINT(-13.334433 29.18405)
-17.1955;27.9455;1997;Stenella frontalis;8717;1664.5;1997-03-21T10:19:05;POINT(-17.1955 27.9455)
-16.831167;27.997833;1996;Stenella frontalis;11204;2273;1996-04-08T12:14:33;POINT(-16.831167 27.997833)
-17.2173;27.9673;1997;Stenella frontalis;6354;1458;1997-01-05T13:20:00;POINT(-17.2173 27.9673)
-17.217533;27.917533;1997;Stenella frontalis;11651;1803;1997-03-09T14:12:44;POINT(-17.217533 27.917533)
-17.076;28.026;1996;Stenella frontalis;6877;893;1996-03-18T12:00:58;POINT(-17.076 28.026)
-17.082833;27.9995;1997;Stenella frontalis;8635;1745;1997-02-06T15:24:06;POINT(-17.082833 27.9995)
-17.185833;27.9525;1997;Stenella frontalis;8039;1628.5;1997-03-05T11:37:11;POINT(-17.185833 27.9525)
-13.25045;29.0334;1995;Stenella frontalis;20096;1317.4;1995-01-18T12:30:00;POINT(-13.25045 29.0334)
-13.317083;29.083917;1995;Stenella frontalis;12688;1255;1995-01-29T13:50:00;POINT(-13.317083 29.083917)
-17.201833;27.951833;1997;Stenella frontalis;7996;1662.5;1997-03-12T16:46:22;POINT(-17.201833 27.951833)
-17.940167;27.606833;1997;Stenella frontalis;5188;1762;1997-03-20T17:31:30;POINT(-17.940167 27.606833)
-16.796667;27.996667;1996;Stenella frontalis;8683;1872;1996-04-07T11:11:24;POINT(-16.796667 27.996667)
-13.333533;29.133667;1994;Stenella frontalis;9493;1283.6;1994-12-08T13:50:00;POINT(-13.333533 29.133667)
-13.383667;29.01805;1994;Stenella frontalis;7801;1175.4;1994-12-18T11:30:00;POINT(-13.383667 29.01805)
-13.416917;28.918117;1995;Stenella frontalis;10675;1305.4;1995-01-29T10:30:00;POINT(-13.416917 28.918117)
-17.219167;27.969167;1997;Stenella frontalis;6106;1392.5;1997-03-15T12:29:09;POINT(-17.219167 27.969167)
-13.567183;28.85015;1994;Stenella frontalis;10191;1093.4;1994-12-30T12:45:00;POINT(-13.567183 28.85015)
-16.815833;28.015833;1996;Stenella frontalis;8864;1889;1996-04-08T11:42:05;POINT(-16.815833 28.015833)
-17.235167;27.9685;1997;Stenella frontalis;5759;1128;1997-03-21T08:54:13;POINT(-17.235167 27.9685)
-13.350367;29.13415;1994;Stenella frontalis;7907;1262;1994-12-08T14:50:00;POINT(-13.350367 29.13415)
-17.153167;28.0365;1996;Stenella frontalis;1168;184.5;1996-02-28T16:02:53;POINT(-17.153167 28.0365)
-17.143833;28.027167;1997;Stenella frontalis;2517;481.5;1997-03-10T10:55:07;POINT(-17.143833 28.027167)
-13.4001;28.867983;1994;Stenella frontalis;16189;1321;1994-12-30T11:00:00;POINT(-13.4001 28.867983)
-16.968667;28.002;1996;Stenella frontalis;16444;2218;1996-04-08T14:26:15;POINT(-16.968667 28.002)
-15.467;27.494;2019;Stenella frontalis;28829;2714.8;2019-09-01T13:51:00;POINT(-15.467 27.494)
-15.467;27.494;2019;Stenella frontalis;28829;2714.8;2019-09-01T13:51:00;POINT(-15.467 27.494)
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-03;
-15.82833333;27.76666667;2015;Stenella frontalis;8151;169.6;2015-03;
-15.80194444;27.70166667;2013;Stenella frontalis;12220;571;2013-07;
-15.8175;27.71805556;2013;Stenella frontalis;11846;654;2013-07;
-15.81777778;27.68555556;2013;Stenella frontalis;14592;1089.4;2013-07;
-15.70016223;28.15346208;2013;Stenella frontalis;42;13.6;2013-08;
-15.78555556;27.66861111;2013;Stenella frontalis;13846;950.4;2013-08;
-15.785;27.6675;2013;Stenella frontalis;13895;867.4;2013-08;
-15.7475;27.66555556;2013;Stenella frontalis;11744;510.8;2013-08;
-15.76666667;27.6675;2013;Stenella frontalis;12691;580.2;2013-08;
-15.80138889;27.70055556;2013;Stenella frontalis;12284;571;2013-08;
-15.78361111;27.66888889;2013;Stenella frontalis;13689;824;2013-08;
-15.83472222;27.73472222;2013;Stenella frontalis;11235;803.4;2013-08;
-15.85055556;27.75166667;2013;Stenella frontalis;10893;802.8;2013-08;
-15.80166667;27.71916667;2013;Stenella frontalis;10734;412.8;2013-08;
-15.80055556;27.71888889;2013;Stenella frontalis;10680;412.8;2013-09;
-15.835;27.75055556;2013;Stenella frontalis;9886;569.8;2013-09;
-15.7675;27.68416667;2013;Stenella frontalis;11366;425;2013-09;
-15.83472222;27.73333333;2013;Stenella frontalis;11360;817.4;2013-09;
-15.76666667;27.65138889;2013;Stenella frontalis;14131;910.4;2013-09;
-15.81694444;27.7025;2013;Stenella frontalis;13113;814.4;2013-09;
-15.75222222;27.66777778;2013;Stenella frontalis;11825;547.8;2013-10;
